model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;350;2;no weights;inverse linear;0.76944;0.95667;0.8529006434120654;0.835
timbl;350;10;no weights;inverse linear;0.62395;0.99;0.7654642337123208;0.69667
timbl;350;1;gain ratio;exponential decay;0.8;0.94667;0.8671769710363149;0.855
timbl;350;2;gain ratio;exponential decay;0.7972199999999999;0.95667;0.8696970247849066;0.85667
timbl;350;10;gain ratio;exponential decay;0.76842;0.97333;0.8588215743935695;0.84
timbl;350;1;no weights;exponential decay;0.7905;0.94333;0.8601793313069909;0.84667
timbl;350;2;no weights;exponential decay;0.75862;0.95333;0.8449022513507989;0.825
timbl;350;10;no weights;exponential decay;0.68765;0.98333;0.8093297041257226;0.7683300000000001
timbl;400;1;gain ratio;equal;0.81844;0.94667;0.8778972356397051;0.8683299999999999
timbl;400;2;gain ratio;equal;0.78356;0.95333;0.860148028717996;0.845
timbl;400;10;gain ratio;equal;0.76903;0.97667;0.8605012660823738;0.84167
timbl;400;1;no weights;equal;0.80912;0.94667;0.8725071112148948;0.86167
timbl;400;2;no weights;equal;0.7792899999999999;0.95333;0.8575689253269615;0.84167
timbl;400;10;no weights;equal;0.63675;0.99333;0.7760390625000002;0.71333
timbl;400;1;gain ratio;inverse distance;0.81844;0.94667;0.8778972356397051;0.8683299999999999
timbl;400;2;gain ratio;inverse distance;0.80453;0.94667;0.8698314471219736;0.8583299999999999
timbl;400;10;gain ratio;inverse distance;0.77573;0.98;0.8659821270924345;0.8483299999999999
timbl;400;1;no weights;inverse distance;0.80912;0.94667;0.8725071112148948;0.86167
timbl;400;2;no weights;inverse distance;0.7933899999999999;0.96;0.8687792219643091;0.855
timbl;400;10;no weights;inverse distance;0.65351;0.99333;0.7883596321439849;0.73333
timbl;400;1;gain ratio;inverse linear;0.81844;0.94667;0.8778972356397051;0.8683299999999999
timbl;400;2;gain ratio;inverse linear;0.81844;0.94667;0.8778972356397051;0.8683299999999999
timbl;400;10;gain ratio;inverse linear;0.78904;0.96;0.8661647532360608;0.85167
timbl;400;1;no weights;inverse linear;0.8022600000000001;0.94667;0.868502998061672;0.85667
timbl;400;2;no weights;inverse linear;0.79063;0.95667;0.8657608906312597;0.85167
timbl;400;10;no weights;inverse linear;0.67195;0.99;0.800542134239899;0.75333
timbl;400;1;gain ratio;exponential decay;0.81844;0.94667;0.8778972356397051;0.8683299999999999
timbl;400;2;gain ratio;exponential decay;0.80508;0.95;0.8715568521093056;0.86
timbl;400;10;gain ratio;exponential decay;0.7730899999999999;0.97667;0.8630369997028163;0.845
timbl;400;1;no weights;exponential decay;0.80453;0.94667;0.8698314471219736;0.8583299999999999
timbl;400;2;no weights;exponential decay;0.77151;0.95667;0.8541708290803042;0.83667
timbl;400;10;no weights;exponential decay;0.66147;0.99;0.7930574579011427;0.7416699999999999
timbl;450;1;gain ratio;equal;0.83235;0.94333;0.8843718750000001;0.8766700000000001
timbl;450;2;gain ratio;equal;0.78237;0.94667;0.856713792509138;0.84167
timbl;450;10;gain ratio;equal;0.76842;0.97333;0.8588215743935695;0.84
timbl;450;1;no weights;equal;0.8268700000000001;0.92333;0.8724418661867216;0.865
timbl;450;2;no weights;equal;0.77717;0.95333;0.8562837054030626;0.84
timbl;450;10;no weights;equal;0.6399100000000001;0.98333;0.7752922553658117;0.715
timbl;450;1;gain ratio;inverse distance;0.83235;0.94333;0.8843718750000001;0.8766700000000001
timbl;450;2;gain ratio;inverse distance;0.82609;0.95;0.883722671711456;0.875
timbl;450;10;gain ratio;inverse distance;0.78706;0.97333;0.8703402198376495;0.855
timbl;450;1;no weights;inverse distance;0.8268700000000001;0.92333;0.8724418661867216;0.865
timbl;450;2;no weights;inverse distance;0.80337;0.95333;0.8719493619855412;0.86
timbl;450;10;no weights;inverse distance;0.6651699999999999;0.98667;0.7946329958107322;0.745
timbl;450;1;gain ratio;inverse linear;0.82991;0.94333;0.8829927142405992;0.875
timbl;450;2;gain ratio;inverse linear;0.81766;0.95667;0.8817196262251104;0.8716700000000001
timbl;450;10;gain ratio;inverse linear;0.7832;0.96333;0.8639760622491455;0.8483299999999999
timbl;450;1;no weights;inverse linear;0.81765;0.92667;0.8687531249999999;0.86
timbl;450;2;no weights;inverse linear;0.7872899999999999;0.95;0.8610255052409213;0.84667
timbl;450;10;no weights;inverse linear;0.68119;0.99;0.8070633500679156;0.7633300000000001
timbl;450;1;gain ratio;exponential decay;0.83235;0.94333;0.8843718750000001;0.8766700000000001
timbl;450;2;gain ratio;exponential decay;0.81197;0.95;0.8755784718241515;0.865
timbl;450;10;gain ratio;exponential decay;0.77045;0.97333;0.8600879680923051;0.84167
timbl;450;1;no weights;exponential decay;0.82006;0.92667;0.8701115801526281;0.86167
timbl;450;2;no weights;exponential decay;0.77005;0.96;0.8545972659749719;0.83667
timbl;450;10;no weights;exponential decay;0.63755;0.97333;0.7704441566100517;0.71
timbl;500;1;gain ratio;equal;0.8294100000000001;0.94;0.8812490039052565;0.8733299999999999
